ST # ;ROAD;PC;WARD;PLAN;LOT;CONTRACTOR ;BLG TYPE ;MUNICIPALITY ;DESCRIPTION;D.U.;VALUE;FT2;PERMIT#;APPL. TYPE;ISSUED DATE
106  ;LAPLAND PRIV ;;Ward 6;4M-;30;CONTRACTOR UNKNOWN;Stacked Rowhouse;Kanata;Construct a block of 12 stacked rowhouses;12;1 909 281;14680;2004110;Construction; 2020-juin-29
108  ;LAPLAND PRIV ;;Ward 6;4M-;30;CONTRACTOR UNKNOWN;Stacked Rowhouse;Kanata;Construct a block of 12 stacked rowhouses;12;1 909 281;14680;2004110;Construction; 2020-juin-29
110  ;LAPLAND PRIV ;;Ward 6;4M-;30;CONTRACTOR UNKNOWN;Stacked Rowhouse;Kanata;Construct a block of 12 stacked rowhouses;12;1 909 281;14680;2004110;Construction; 2020-juin-29
112  ;LAPLAND PRIV ;;Ward 6;4M-;30;CONTRACTOR UNKNOWN;Stacked Rowhouse;Kanata;Construct a block of 12 stacked rowhouses;12;1 909 281;14680;2004110;Construction; 2020-juin-29
114  ;LAPLAND PRIV ;;Ward 6;4M-;30;CONTRACTOR UNKNOWN;Stacked Rowhouse;Kanata;Construct a block of 12 stacked rowhouses;12;1 909 281;14680;2004110;Construction; 2020-juin-29
715  ;ROUNCEY RD ;;Ward 6;4M-;30;CONTRACTOR UNKNOWN;Stacked Rowhouse;Kanata;Construct a block of 12 stacked rowhouses;12;1 909 281;14680;2004110;Construction; 2020-juin-29
717  ;ROUNCEY RD ;;Ward 6;4M-;30;CONTRACTOR UNKNOWN;Stacked Rowhouse;Kanata;Construct a block of 12 stacked rowhouses;12;1 909 281;14680;2004110;Construction; 2020-juin-29
719  ;ROUNCEY RD ;;Ward 6;4M-;30;CONTRACTOR UNKNOWN;Stacked Rowhouse;Kanata;Construct a block of 12 stacked rowhouses;12;1 909 281;14680;2004110;Construction; 2020-juin-29
721  ;ROUNCEY RD ;;Ward 6;4M-;30;CONTRACTOR UNKNOWN;Stacked Rowhouse;Kanata;Construct a block of 12 stacked rowhouses;12;1 909 281;14680;2004110;Construction; 2020-juin-29
174  ;BILLINGS AVE ;K1H5K9;Ward 18;4M-;;ANPAQ HOME IMPROVEMENTS CORP.;Single;Old Ottawa;Construct an addition on a 1 storey detached dwelling;0;63 544;380;2004111;Construction; 2020-juin-30
6238  ;FORTUNE DR ;K1C2B6;Ward 1;M171;439;BRAESIDE CONSTRUCTION;Single;Gloucester;Interior alterations to a 2 storey detached dwelling (Kitchen renovation);0;50 000;1195;2004112;Construction; 2020-juin-30
3255  ;BLANCHFIELD RD ;K0A2W0;Ward 20;;28;ST. LAWRENCE POOLS;Single;Osgoode;Install an enclosure for an above ground pool (rear yard);0;0;0;2004113;Pool Enclosure; 2020-juin-30
3255  ;BLANCHFIELD RD ;K0A2W0;Ward 20;;28;***CONTRACTOR***;Single;Osgoode;Construct an addition onto a deck (rear yard);0;3 768;215;2004114;Construction; 2020-juin-30
6  ;ANTARES DR ;K2E8A9;Ward 9;4M-;;CONTRACTOR UNKNOWN;Commercial;Nepean;Tenant Fit-up in the ground floor of a 2 storey office building (Unit 200);0;70 000;8999;2004115;Construction; 2020-juin-30
6240  ;RAVINE WAY ;K1C2V4;Ward 1;;;MERMAID POOLS;Single;Gloucester;Install an enclosure for an above ground pool (rear yard);0;0;0;2004116;Pool Enclosure; 2020-juin-30
554  ;BRADBURY CRT ;K2W0A1;Ward 5;4M1488;1;SHELLSTAR HOMES;Single;Kanata;Construct a 2 storey detached dwelling;1;535 438;4502;2004117;Construction; 2020-juin-30
229  ;CABRELLE PL ;K4M0A9;Ward 21;4M1407;33;JOEL EVAN POOLS;Single;Rideau;Install an Enclosure for an InGround Pool (rear yard);0;0;0;2004118;Pool Enclosure; 2020-juin-30
279  ;MICHEL CIR ;K1L7P4;Ward 12;4M-;;7231288 CANADA INC;Single;Vanier;Interior alterations and garage expansion to a 1 storey detached dwelling;0;200 000;300;2004119;Construction; 2020-juin-30
2207  ;CLERMONT CRES ;K4A4W5;Ward 19;4M-1172;25;***CONTRACTOR***;Single;Cumberland;Install an enclosure for an above ground pool;0;0;0;2004120;Pool Enclosure; 2020-juin-30
909  ;GOSNELL TERR ;K4A5C3;Ward 19;4M-1241;36;JMD POOLS INC;Single;Cumberland;Install an enclosure for an inground pool (rear yard);0;0;0;2004121;Pool Enclosure; 2020-juin-30
333  ;PRESTON ST ;K1S5N4;Ward 14;13;1567;CONTRACTOR UNKNOWN;Office;Old Ottawa;Alterations to repair parking garage in a 11 storey office building;0;35 000;1000;2004122;Construction; 2020-juin-30
8 B ;SUNNYCREST DR ;K2E5Y2;Ward 9;310509;28;***CONTRACTOR***;Single;Nepean;Construct a secondary dwelling unit in a 2 storey detached dwelling (basement);1;1 000;9000;2004123;Construction; 2020-juin-30
8  ;SUNNYCREST DR ;K2E5Y2;Ward 9;310509;28;***CONTRACTOR***;Single;Nepean;Construct a secondary dwelling unit in a 2 storey detached dwelling (basement);1;1 000;9000;2004123;Construction; 2020-juin-30
14  ;PHYLIS ST ;K2J1V2;Ward 3;4M-;6;AMSTED DESIGN BUILD;Single;Nepean;Interior alterations to the 1st floor of a 2 storey detached dwelling;0;65 000;890;2004124;Construction; 2020-juin-30
748  ;STILES CRES ;K1J6Z1;Ward 11;817;326;CONTRACTOR UNKNOWN;Detached Garage/Shed;Gloucester;Construct a shed (rear yard);0;9 000;140;2004125;Construction; 2020-juin-30
1107  ;ARMSTRONG RD ;K4C1A5;Ward 19;;38;***CONTRACTOR***;Single;Cumberland;Install an enclosure for an above ground pool (rear yard);0;0;0;2004126;Pool Enclosure; 2020-juin-30
5410  ;THUNDER RD ;K0A1K0;Ward 19;;PT LT 8;DWB RENOVATIONS INC;Detached Garage/Shed;Gloucester;Construct a detached garage;0;50 000;1728;2004127;Construction; 2020-juin-30
1005  ;BATEAU, PLACE DU  ;K1C2N2;Ward 1;M215;205;MERMAID POOLS;Single;Gloucester;Install an enclosure for an above ground pool;0;0;0;2004128;Pool Enclosure; 2020-juin-30
103  ;PORTER ST ;K2S2L8;Ward 6;4M-1591;;PATTEN HOMES 2000;Rowhouse;Goulbourn;Construct a 2 storey block of 4 rowhouse dwellings;4;1 040 461;8947;2004129;Construction; 2020-juin-30
105  ;PORTER ST ;K2S2L8;Ward 6;4M-1591;;PATTEN HOMES 2000;Rowhouse;Goulbourn;Construct a 2 storey block of 4 rowhouse dwellings;4;1 040 461;8947;2004129;Construction; 2020-juin-30
107  ;PORTER ST ;K2S2L5;Ward 6;4M-1591;;PATTEN HOMES 2000;Rowhouse;Goulbourn;Construct a 2 storey block of 4 rowhouse dwellings;4;1 040 461;8947;2004129;Construction; 2020-juin-30
109  ;PORTER ST ;K2S2L5;Ward 6;4M-1591;;PATTEN HOMES 2000;Rowhouse;Goulbourn;Construct a 2 storey block of 4 rowhouse dwellings;4;1 040 461;8947;2004129;Construction; 2020-juin-30
2834  ;COLONIAL RD ;K0A3E0;Ward 19;;10;CAMPBELL POOLS (YOUVILLE);Single;Cumberland;Install an enclosure for an above ground pool (rear yard);0;0;0;2004130;Pool Enclosure; 2020-juin-30
276  ;CRESTVIEW RD ;K1H5G6;Ward 18;550;47;SPLASH POOLS & SPAS;Single;Old Ottawa;Install an enclosure for inground pool (rear yard);0;0;0;2004131;Pool Enclosure; 2020-juin-30
274  ;DEERCROFT AVE ;K2J5J7;Ward 3;4M-1178;;CLUB PISCINE;Single;Nepean;Install an enclosure for an above ground pool (rear yard);0;0;0;2004132;Pool Enclosure; 2020-juin-30
19  ;GARLAND ST ;K1Y2A6;Ward 15;;;CONTRACTOR UNKNOWN;Demolition;Old Ottawa;Demolish a 1 storey detached dwelling;0;0;0;2004133;Demolition; 2020-juin-30
19 A ;GARLAND ST ;K1Y2A6;Ward 15;53;9;CONTRACTOR UNKNOWN;Semi - Detached;Old Ottawa;Construct a 3 storey semi-detached dwelling;2;570 889;4254;2004134;Construction; 2020-juin-30
19 B ;GARLAND ST ;K1Y2A6;Ward 15;53;9;CONTRACTOR UNKNOWN;Semi - Detached;Old Ottawa;Construct a 3 storey semi-detached dwelling;2;570 889;4254;2004134;Construction; 2020-juin-30
19  ;GARLAND ST ;K1Y2A6;Ward 15;53;9;CONTRACTOR UNKNOWN;Semi - Detached;Old Ottawa;Construct a 3 storey semi-detached dwelling;2;570 889;4254;2004134;Construction; 2020-juin-30
428  ;OAKLAWN CRES ;K4A3J3;Ward 19;50M-181;83;CONTRACTOR UNKNOWN;Single;Cumberland;Interior alterations on the 1st floor of a 2 storey detached dwelling (remove load bearing wall and replace with lvl beam);0;10 000;194;2004135;Construction; 2020-juin-30
2101  ;DAMASK AVE ;K4A0P4;Ward 19;4M1382;97;***CONTRACTOR***;Single;Cumberland;Install an enclosure for an inground pool (rear yard);0;0;0;2004136;Pool Enclosure; 2020-juin-30
3319  ;SCANLON DR ;K0A2W0;Ward 20;;4;TREVI POOLS;Single;Osgoode;Install an enclosure for an above ground pool (rear yard);0;0;0;2004137;Pool Enclosure; 2020-juin-30
199  ;MCGIBBON DR ;K2L3Z8;Ward 23;4M-626;128;TREVI POOLS;Single;Kanata;Construct an enclosure for a semi-inground pool (rear yard);0;0;0;2004138;Pool Enclosure; 2020-juin-30
45  ;FLINTRIDGE CRES ;K2M2X9;Ward 23;4M1132;24;CONTRACTOR UNKNOWN;Other;Kanata;Construct a deck (rear yard);0;8 500;480;2004139;Construction; 2020-juin-30
151  ;HURON AVE N;K1Y0W3;Ward 15;152206;496;NAFZIGER, LARRY;Single;Old Ottawa;New 3 pc. bathroom in the unfinished basement of a 2 storey detached dwelling;0;10 000;35;2004140;Construction; 2020-juin-30
863  ;KINGSMERE AVE ;K2A3J8;Ward 7;524;76;***CONTRACTOR***;Single;Old Ottawa;Install an enclosure for an above ground pool (rear yard);0;0;0;2004141;Pool Enclosure; 2020-juin-30
127  ;BRITANNIA RD ;K2B5X1;Ward 7;4M-;;CONTRACTOR UNKNOWN;Single;Old Ottawa;Exterior/Interior alterations to a 2 storey detached dwelling;0;40 000;1496;2004142;Construction; 2020-juin-30
19  ;MARIER AVE ;K1L5S6;Ward 12;M-25;175 & 176;CONTRACTOR UNKNOWN;Demolition;Vanier;Demolish a detached garage (rear/side yard);0;4 200;-592;2004143;Demolition; 2020-juin-30
3 B -2;CRYSTAL BEACH DR ;K2H5M5;Ward 7;4M-;;CONTRACTOR UNKNOWN;Semi - Detached;Nepean;Construct a secondary dwelling unit in the basement of a 1 storey semi-detached dwelling;1;70 000;2220;2004144;Construction; 2020-juin-30
3 B ;CRYSTAL BEACH DR ;K2H5M5;Ward 7;4M-;;CONTRACTOR UNKNOWN;Semi - Detached;Nepean;Construct a secondary dwelling unit in the basement of a 1 storey semi-detached dwelling;1;70 000;2220;2004144;Construction; 2020-juin-30
9  ;IRISH ROSE CRES ;K2J4T7;Ward 3;4M-1023;91;***CONTRACTOR***;Single;Nepean;Install an enclosure for an above ground pool and hot tub (rear yard);0;0;0;2004145;Pool Enclosure; 2020-juin-30
145  ;SERAPHIN MARION PRIV ;K1N6N5;Ward 12;4M-;;BRYDEN GIBSON ARCHITECTS INC.;Institutional;Old Ottawa;Tenant fit up in a 2 storey office building;0;450 000;1238;2004146;Construction; 2020-juin-30
338  ;SHERWOOD DR ;K1Y3X1;Ward 15;4M-;;CONTRACTOR UNKNOWN;Single;Old Ottawa;Remove load bearing walls on the 1st floor and finish the basement of a 2 storey detached dwelling;0;10 000;600;2004147;Construction; 2020-juin-30
239  ;CONDADO CRES ;;Ward 6;4M-;;CONTRACTOR UNKNOWN;Single;Kanata;Construct a 2 storey detached dwelling;1;367 605;2238;2004148;Construction; 2020-juin-30
605  ;LONGFIELDS DR ;K2J6T7;Ward 3;4M-1463;;CONTRACTOR UNKNOWN;Retail;Nepean;Tenant fit-up to a 1 storey retail building (Unit 1309, Phenicia Bakery);0;43 477;1170;2004149;Construction; 2020-juin-30
257  ;CONDADO CRES ;;Ward 6;4M1637;289;CARDEL HOMES INC. OTTAWA DIVISION;Single;Kanata;Construct a 2 storey detached dwelling;1;359 690;2151;2004150;Construction; 2020-juin-30
310  ;HUNT CLUB RD ;K1V1C1;Ward 10;;;WESTVIEW PROJECTS INC.;Office;Old Ottawa;Interior alterations to the 1st floor of a 3 storey office building;0;17 500;93;2004152;Construction; 2020-juin-30
4175  ;SPRATT RD ;K1V1T6;Ward 22;4M1243;PT LT 19;BAXTEC MECHANICAL SERVICES;Institutional;Gloucester;Exterior & Interior alterations to a 2 storey institutional building - replacing boilers (Steven MacLean Elementary School);0;20 000;646;2004153;Construction; 2020-juil-08
2220  ;BOWMAN RD ;K1H6V5;Ward 18;820;39;SUNTER HOMES INC.;Single;Old Ottawa;Interior alterations to the basement of a 2 storey detached dwelling. Basement renovation.;0;160 000;1001;2004155;Construction; 2020-juin-30
140  ;NORICE ST ;K2G2Y3;Ward 8;;;CONTRACTOR UNKNOWN;Demolition;Nepean;Demolish a 1 storey detached dwelling and garage;-1;3 000;-3229;2004156;Demolition; 2020-juin-30
14  ;BARNES CRES ;K2H7C2;Ward 8;467421;139;TREVI POOLS;Single;Nepean;Install an enclosure for an above-grade pool (rear yard);0;0;0;2004157;Pool Enclosure; 2020-juin-30
50  ;RIDEAU ST ;K1N9J7;Ward 12;3922;1-10 & 67-72;CONTRACTOR UNKNOWN;Retail;Old Ottawa;Tenant fit-up in a 3 storey retail building (Rideau Centre - Unit 230, OVO);0;600 000;2520;2004158;Construction; 2020-juin-30
24 B ;WITHERSPOON CRES ;;Ward 4;4M1135;6;CONTRACTOR UNKNOWN;Single;Kanata;Construct a 2 storey detached dwelling with finished basement;1;701 729;5514;2004159;Construction; 2020-juil-02
121  ;CADIEUX WAY ;K4P0E9;Ward 20;4M1572;11;GROULX, MARTIN;Single;Osgoode;Construct a 2 storey detached dwelling;1;372 399;2227;2004160;Construction; 2020-juil-02
96  ;STRACHAN ST ;;Ward 21;D-16;;POOLARAMA SWIMMING POOLS;Single;Goulbourn;Install an enclosure an inground pool in the (rear yard);0;0;0;2004161;Pool Enclosure; 2020-juil-02
165  ;FINSBURY AVE ;K2S2P5;Ward 6;4M1619;220;POOLARAMA SWIMMING POOLS;Single;Goulbourn;Install an enclosure an inground pool in the (rear yard);0;0;0;2004162;Pool Enclosure; 2020-juil-02
420  ;JUNE CRT ;K1W0E1;Ward 2;4M-1400;32;TREVI GATINEAU;Single;Gloucester;Install an enclosure for an inground pool (rear yard);0;0;0;2004163;Pool Enclosure; 2020-juil-02
2673  ;TRAVERSE DR ;K1V8B5;Ward 17;755;180;JOEL EVAN POOLS;Single;Old Ottawa;Install an Enclosure for an Inground Pool (rear yard);0;0;0;2004164;Pool Enclosure; 2020-juil-02
7758  ;BANK ST ;K0A2P0;Ward 20;;27 28;***CONTRACTOR***;Farm;Osgoode;Construct a farm machine storage building;0;35 100;7020;2004165;Construction; 2020-juil-02
1504  ;MICHAELSEM ST ;K1C7C3;Ward 2;4M-669;36;***CONTRACTOR***;Single;Gloucester;Install an enclosure for an above ground pool (rear yard);0;0;0;2004166;Pool Enclosure; 2020-juil-02
1  ;WELLINGTON ST ;;Ward 12;4M-;;STANTEC CONSULTING LTD.;Office;Old Ottawa;Tenant fit up in a two storey office building;0;1 307 680;10;2004167;Construction; 2020-juil-02
236  ;FOUNTAINHEAD DR ;K1W0H3;Ward 2;4M1465;83;***CONTRACTOR***;Single;Gloucester;Install an enclosure for an above ground pool (rear yard);0;0;0;2004168;Pool Enclosure; 2020-juil-02
3560  ;GORDON MURDOCK RD ;K0A2W0;Ward 20;5R1468;32;***CONTRACTOR***;Single;Osgoode;Interior alterations to a detached dwelling;0;5 000;388;2004169;Construction; 2020-juil-02
117  ;STANHOPE CRT ;K2J6S2;Ward 3;4M-1655;;UNIFORM URBAN DEVELOPMENTS LTD.;Semi - Detached;Nepean;Construct a 1 storey semi-detached dwelling (Buchanan w. Custom Loft and Kinross);2;586 106;3589;2004170;Construction; 2020-juil-02
121  ;STANHOPE CRT ;K2J6S2;Ward 3;4M-1655;;UNIFORM URBAN DEVELOPMENTS LTD.;Semi - Detached;Nepean;Construct a 1 storey semi-detached dwelling (Buchanan w. Custom Loft and Kinross);2;586 106;3589;2004170;Construction; 2020-juil-02
133  ;TALOS CIR ;K0A2Z0;Ward 21;4M1516;29;MCI POOLS;Single;Goulbourn;Install an enclosure for an inground pool (rear yard);0;0;0;2004171;Pool Enclosure; 2020-juil-02
1309  ;CARLING AVE ;K1Z7L3;Ward 15;4M-;;MASCARENHAS, PHILIP;Mixed;Old Ottawa;FOUNDATION ONLY - Construct a 24 storey mixed use building with a 2 storey underground parking garage;213;4 743 939;72950;2004172;Construction; 2020-juil-02
3  ;BEECHGROVE GDN ;K2S1W5;Ward 6;733;88;POOL BUILDERS OTTAWA;Single;Goulbourn;Install an enclosure for an inground pool (rear yard);0;0;0;2004173;Pool Enclosure; 2020-juil-02
46  ;STEEPLE HILL CRES ;K2R1G3;Ward 21;;22;***CONTRACTOR***;Single;Nepean;Install an enclosure for an above ground pool (rear yard);0;0;0;2004174;Pool Enclosure; 2020-juil-02
715  ;SAMANTHA EASTOP AVE ;K2S2H8;Ward 6;4M-;23;CONTRACTOR UNKNOWN;Single;Goulbourn;Construct a deck (rear yard);0;1 500;110;2004175;Construction; 2020-juil-02
1540  ;SHERRUBY WAY ;K2W1A9;Ward 5;4M592;10;***CONTRACTOR***;Single;Kanata;Install an enclosure for an above ground pool (rear yard);0;0;0;2004176;Pool Enclosure; 2020-juil-02
7970  ;VICTORIA ST ;K0A2P0;Ward 20;;PT LT 21;CONTRACTOR UNKNOWN;Detached Garage/Shed;Osgoode;Construct a detached garage;0;70 000;1507;2004177;Construction; 2020-juil-02
43  ;MOORE ST ;K0A2Z0;Ward 21;4M1183;17;IMPRESSIONS GROUP OTTAWA;Single;Goulbourn;Install an enclosure for an inground pool (rear yard);0;0;0;2004178;Pool Enclosure; 2020-juil-02
62  ;VALEWOOD CRES ;K1B4E8;Ward 2;876;;***CONTRACTOR***;Single;Gloucester;Interior alterations to remove a load-bearing wall and window installation;0;10 000;100;2004179;Construction; 2020-juil-02
109  ;BEECHFERN DR ;K2S1E3;Ward 6;M285;172;GUILLAS, RENE;Single;Goulbourn;Install an enclosure for an above ground pool (rear yard);0;0;0;2004180;Pool Enclosure; 2020-juil-02
3  ;RIVERGREEN CRES ;K2M2E1;Ward 23;4M-1071;2;***CONTRACTOR***;Single;Kanata;Install an above ground pool (rear yard);0;0;0;2004181;Pool Enclosure; 2020-juil-02
5455  ;FERRY RD ;K0A1X0;Ward 5;4M-;;***CONTRACTOR***;Single;West Carleton;Replace existing porch and stairs (front);0;4 100;40;2004182;Construction; 2020-juil-02
410  ;ARRISDALE CRT ;K2K3M7;Ward 4;4M1274;6;IMPRESSIONS GROUP OTTAWA;Single;Kanata;Install an enclosure for an in ground pool (rear yard);0;0;0;2004183;Pool Enclosure; 2020-juil-02
305  ;RIDEAU ST ;K1N9E5;Ward 12;43586;7 to 9;CONTRACTOR UNKNOWN;Apartment;Old Ottawa;Interior alterations on the 1st floor of a 11 storey apartment building (Pi Co. Rideau - Suite 107);0;160 000;1240;2004185;Construction; 2020-juil-02
148  ;GLAMORGAN DR ;K2L1R8;Ward 23;886;;CONTRACTOR UNKNOWN;Single;Kanata;Install an enclosure for an above ground pool (rear yard);0;0;0;2004186;Pool Enclosure; 2020-juil-02
53  ;ARNOLD DR ;K2H6W1;Ward 8;341265;19;CONTRACTOR UNKNOWN;Demolition;Nepean;Demolish a 1 storey detached dwelling;-1;1 000;-1200;2004187;Demolition; 2020-juil-02
219  ;CELTIC RIDGE CRES ;K2W0C1;Ward 4;4M-1326;200;***CONTRACTOR***;Single;Kanata;Install an enclosure for an above ground pool (rear yard);0;0;0;2004188;Pool Enclosure; 2020-juil-02
531  ;VIVERA PL ;K2S0W2;Ward 6;4M1549;140;CONTRACTOR UNKNOWN;Single;Goulbourn;Construct a secondary dwelling unit in the basement of a 2 storey detached dwelling;1;30 000;1052;2004189;Construction; 2020-juil-02
167  ;MORESBY DR ;K2M1Z9;Ward 23;4M-724;80;CONTRACTOR UNKNOWN;Single;Kanata;Construct an enclosure for an above ground pool (rear yard);0;0;0;2004190;Pool Enclosure; 2020-juil-02
15  ;HEATHCLIFFE CRT ;K2L1P3;Ward 23;882;714;MERMAID POOLS (MERIVALE);Single;Kanata;Construct an enclosure for an above ground pool (rear yard);0;0;0;2004191;Pool Enclosure; 2020-juil-02
22  ;MILNER DOWNS CRES ;K2M2S3;Ward 23;4M-980;;***CONTRACTOR***;Single;Kanata;Install an enclosure for an above ground pool (rear yard);0;0;0;2004192;Pool Enclosure; 2020-juil-02
25  ;CASTLEFRANK RD ;K2L2E1;Ward 23;M-222;1441;***CONTRACTOR***;Semi - Detached;Kanata;Interior alterations on the 1st floor of a 2 storey semi-detached dwelling;0;8 000;46;2004194;Construction; 2020-juil-02
5986  ;HAZELDEAN RD ;K2S1B9;Ward 6;;25;ARGUE CONSTRUCTION LTD;Demolition;Goulbourn;Demolish a 1 storey retail building (Rental Village);0;9 000;-2858;2004195;Demolition; 2020-juil-02
506  ;MAZARI CRES ;K2S0A1;Ward 6;4M1291;113;CLEAN CUT LAWN & LOT MAINTENANCE;Single;Goulbourn;Install an enclosure for a hot tub (rear yard);0;0;0;2004196;Pool Enclosure; 2020-juil-02
2727  ;CARP RD ;K0A1L0;Ward 5;4M-;7;THOMAS CAVANAGH CONSTRUCITON LTD.;Industrial;West Carleton;Construct a 1 storey storage building;0;403 186;6200;2004197;Construction; 2020-juil-02
842  ;MAPLEWOOD AVE ;K2B5V5;Ward 7;281;10;EBRAHIMIPOUR, MAJID;Demolition;Old Ottawa;Demolish a 2 storey detached dwelling and shed;-1;5 000;-1200;2004198;Demolition; 2020-juil-02
82  ;WILLOW GLEN DR ;K2M1T7;Ward 23;4M-539;37;***CONTRACTOR***;Single;Kanata;Construct an enclosure for an above ground pool (rear yard);0;0;0;2004199;Pool Enclosure; 2020-juil-03
842  ;MAPLEWOOD AVE ;K2B5V5;Ward 7;281;10;CONTRACTOR UNKNOWN;Semi - Detached;Old Ottawa;Construct a 2 storey semi-detatched dwelling;2;370 727;2217;2004200;Construction; 2020-juil-03
844  ;MAPLEWOOD AVE ;K2B5V5;Ward 7;281;10;CONTRACTOR UNKNOWN;Semi - Detached;Old Ottawa;Construct a 2 storey semi-detatched dwelling;2;370 727;2217;2004200;Construction; 2020-juil-03
23  ;DUNDEGAN DR ;K2L1P7;Ward 23;882;736;OTTAWA GENERAL CONTRACTORS;Single;Kanata;Construct a 2nd storey addition and interior alterations to a 2 storey detached dwelling;0;86 513;1137;2004201;Construction; 2020-juil-03
57  ;KINGSFORD CRT ;K2K1T8;Ward 4;786;12;***CONTRACTOR***;Single;Kanata;Install an enclosure for an above ground pool (rear yard|);0;0;0;2004202;Pool Enclosure; 2020-juil-03
38  ;KINGSFORD CRES ;K2K1T4;Ward 4;786;34;***CONTRACTOR***;Single;Kanata;Construct an enclosure for an inground pool (rear yard);0;0;0;2004203;Pool Enclosure; 2020-juil-03
72  ;PICASSO DR ;K1G5S7;Ward 10;4M810;19;CONTRACTOR UNKNOWN;Single;Old Ottawa;Interior alterations to remove a load-bearing wall;0;25 000;180;2004204;Construction; 2020-juil-03
1513  ;LISBON ST ;K4A4L5;Ward 1;4M1138;126;CAMPBELL POOLS (YOUVILLE);Single;Cumberland;Install an enclosure for an above ground pool (rear yard);0;0;0;2004205;Pool Enclosure; 2020-juil-03
525  ;ROSEHILL AVE ;K2S0E9;Ward 6;4M-1323;103;***CONTRACTOR***;Single;Kanata;Construct an enclosure for a hot tub (rear yard);0;0;0;2004206;Pool Enclosure; 2020-juil-03
1313  ;BAYVIEW DR ;K0A3M0;Ward 5;534;1;CONTRACTOR UNKNOWN;Single;West Carleton;Construct a deck at the front/side of a 1 storey detached dwelling;0;4 800;732;2004207;Construction; 2020-juil-03
115  ;SOLARIS DR ;K2M0M1;Ward 23;4M-1520;432;JMR POOL;Single;Kanata;Construct an enclosure for an inground pool (rear yard);0;0;0;2004208;Pool Enclosure; 2020-juil-03
260  ;SWEETVALLEY DR ;K4A5J5;Ward 19;4R22987;144;MATTAMY DEVELOPMENT CORPORATION;Single;Cumberland;Construct a 2 Storey Single with attached garage  Model: Hickory 2019 VC;1;436 109;2608;2004209;Construction; 2020-juil-03
30  ;MUDMINNOW CRES ;K4A5H8;Ward 19;;40;MATTAMY DEVELOPMENT CORPORATION;Single;Cumberland;Construct a 2 Storey Single with attached garage  Model: Parkside 2019 GE;1;445 139;2662;2004210;Construction; 2020-juil-03
918  ;BAYVIEW DR ;K0A3M0;Ward 5;597;19;CONTRACTOR UNKNOWN;Single;West Carleton;Construct a 1 storey detached dwelling;1;246 817;1476;2004211;Construction; 2020-juil-03
20  ;MUDMINNOW CRES ;K4A5H8;Ward 19;;35;MATTAMY DEVELOPMENT CORPORATION;Single;Cumberland;Construct a 2 Storey Single with attached garage  Model: Marigold 2019 TN;1;289 123;1729;2004212;Construction; 2020-juil-03
1445  ;MERIVALE RD ;K2E5N9;Ward 9;4M-;2 - 5;STERIC DESIGN & GENERAL CONTRACTING;Retail;Nepean;Tenant fit-up on the first and second floor of a 2 storey retail building (Unit #101, STASH AND CO);0;150 000;2476;2004213;Construction; 2020-juil-03
26  ;MUDMINNOW CRES ;K4A5H8;Ward 19;;38;MATTAMY DEVELOPMENT CORPORATION;Single;Cumberland;Construct a 2 Storey Single with attached garage  Model: Elm 2019 VC;1;328 587;1965;2004214;Construction; 2020-juil-03
36  ;MUDMINNOW CRES ;K4A5H8;Ward 19;;43;MATTAMY DEVELOPMENT CORPORATION;Single;Cumberland;Construct a 2 Storey Single with attached garage  Model: Magnolia 2019 GE;1;372 064;2225;2004215;Construction; 2020-juil-03
28  ;MUDMINNOW CRES ;K4A5H8;Ward 19;;39;MATTAMY DEVELOPMENT CORPORATION;Single;Cumberland;Construct a 1 Storey Single with attached garage  Model: Honeybell 2019 TN;1;266 214;1592;2004216;Construction; 2020-juil-03
38  ;MUDMINNOW CRES ;K4A5H8;Ward 19;;44;MATTAMY DEVELOPMENT CORPORATION;Single;Cumberland;Construct a 2 Storey Single with attached garage [Model: Walnut 2019 GE];1;538 448;3220;2004217;Construction; 2020-juil-03
116  ;SHERBROOKE AVE ;K1Y1R9;Ward 15;95;20&21;CONTRACTOR UNKNOWN;Semi - Detached;Old Ottawa;Construct a 2 storey long semi-detached dwelling w/ finished basement (No secondary dwelling unit);2;458 146;3698;2004218;Construction; 2020-juil-03
118  ;SHERBROOKE AVE ;K1Y1R9;Ward 15;95;20&21;CONTRACTOR UNKNOWN;Semi - Detached;Old Ottawa;Construct a 2 storey long semi-detached dwelling w/ finished basement (No secondary dwelling unit);2;458 146;3698;2004218;Construction; 2020-juil-03
2815  ;DUNROBIN RD ;K0A1T0;Ward 5;664;2;FIRSTONSITE RESTORATION;Single;West Carleton;Construct a 1 storey detached dwelling;1;225 580;1349;2004219;Construction; 2020-juil-03
24  ;MUDMINNOW CRES ;K4A5H8;Ward 19;;37;MATTAMY DEVELOPMENT CORPORATION;Single;Cumberland;Construct a 2 Storey Single with attached garage  Model: Elm 2019 CR;1;327 416;1958;2004220;Construction; 2020-juil-03
22  ;MUDMINNOW CRES ;K4A5H8;Ward 19;;36;MATTAMY DEVELOPMENT CORPORATION;Single;Cumberland;Construct a 2 Storey Single with attached garage  Model: Walnut 2019 GE;1;538 448;3220;2004221;Construction; 2020-juil-03
