ST # ;ROAD;PC;WARD;PLAN;LOT;CONTRACTOR ;BLG TYPE ;MUNICIPALITY ;DESCRIPTION;D.U.;VALUE;FT2;PERMIT#;APPL. TYPE;ISSUED DATE
681 B ;EDISON AVE ;K2A1W2;Ward 15;4M-;61;CONTRACTOR UNKNOWN;Semi - Detached;Old Ottawa;Construct a 2 storey semi-detached dwelling;2;462 642;3700;2001691;Construction; 2020-mars-16
826  ;REGULUS RIDGE ;;Ward 3;;21;MATTAMY DEVELOPMENT CORPORATION;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: Elm 2019 CR;1;327 416;1958;2001692;Construction; 2020-mars-16
25  ;WITHROW AVE ;K2G2H7;Ward 8;375;407-413;CONTRACTOR UNKNOWN;Single;Nepean;Construct a 2 storey detached dwelling;1;576 352;4429;2001693;Construction; 2020-mars-16
79  ;DENTON WAY ;K4A5C3;Ward 19;4M-1241;15;CONTRACTOR UNKNOWN;Single;Cumberland;Finish the basement in a 2 storey detached dwelling;0;29 579;796;2001694;Construction; 2020-mars-16
21  ;WITHROW AVE ;K2G2H7;Ward 8;375;407-413;CONTRACTOR UNKNOWN;Single;Nepean;Construct a 2 storey detached dwelling;1;576 352;4429;2001695;Construction; 2020-mars-16
824  ;REGULUS RIDGE ;;Ward 3;;22;MATTAMY DEVELOPMENT CORPORATION;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: Magnolia 2019 VC;1;372 064;2225;2001696;Construction; 2020-mars-16
822  ;REGULUS RIDGE ;;Ward 3;;23;MATTAMY DEVELOPMENT CORPORATION;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: Parkside 2019 VC;1;444 303;2657;2001697;Construction; 2020-mars-16
820  ;REGULUS RIDGE ;;Ward 3;;24;MATTAMY DEVELOPMENT CORPORATION;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: Parkside 2019 TN;1;445 139;2662;2001698;Construction; 2020-mars-16
516  ;EDISON AVE ;;Ward 15;4M-;22-26;UNIFORM URBAN DEVELOPMENTS LTD.;Single;Old Ottawa;Construct a 2 storey detached dwelling Model: Avondale;1;376 914;2674;2001699;Construction; 2020-mars-16
818  ;REGULUS RIDGE ;;Ward 3;;25;MATTAMY DEVELOPMENT CORPORATION;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: Elm 2019 VC;1;328 587;1965;2001700;Construction; 2020-mars-16
837  ;REGULUS RIDGE ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Oak End CR 2019,Lilac 2019 CR,Pristine 2019 CR;3;666 035;5071;2001701;Construction; 2020-mars-16
839  ;REGULUS RIDGE ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Oak End CR 2019,Lilac 2019 CR,Pristine 2019 CR;3;666 035;5071;2001701;Construction; 2020-mars-16
841  ;REGULUS RIDGE ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Oak End CR 2019,Lilac 2019 CR,Pristine 2019 CR;3;666 035;5071;2001701;Construction; 2020-mars-16
831  ;REGULUS RIDGE ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Fir 2019 TN,Oak End TN 2019,Oak End TN 2019;3;667 856;5135;2001702;Construction; 2020-mars-16
833  ;REGULUS RIDGE ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Fir 2019 TN,Oak End TN 2019,Oak End TN 2019;3;667 856;5135;2001702;Construction; 2020-mars-16
835  ;REGULUS RIDGE ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Fir 2019 TN,Oak End TN 2019,Oak End TN 2019;3;667 856;5135;2001702;Construction; 2020-mars-16
713  ;MEGREZ WAY ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Oak End CR 2019,Lilac 2019 CR,Oak CR 2019,Majestic 2019 CR;4;883 365;6742;2001703;Construction; 2020-mars-16
715  ;MEGREZ WAY ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Oak End CR 2019,Lilac 2019 CR,Oak CR 2019,Majestic 2019 CR;4;883 365;6742;2001703;Construction; 2020-mars-16
717  ;MEGREZ WAY ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Oak End CR 2019,Lilac 2019 CR,Oak CR 2019,Majestic 2019 CR;4;883 365;6742;2001703;Construction; 2020-mars-16
